tile_id,json_path,image_name,mask_name,width,height,n_buildings,building_ratio,ratio_bin
guatemala-volcano_00000000_pre_disaster,data/labels\guatemala-volcano_00000000_pre_disaster.json,guatemala-volcano_00000000_pre_disaster.png,guatemala-volcano_00000000_pre_disaster_mask.npy,1024,1024,10,0.01456386255444297,medium
guatemala-volcano_00000001_pre_disaster,data/labels\guatemala-volcano_00000001_pre_disaster.json,guatemala-volcano_00000001_pre_disaster.png,guatemala-volcano_00000001_pre_disaster_mask.npy,1024,1024,4,0.0022941332574300537,low
guatemala-volcano_00000002_pre_disaster,data/labels\guatemala-volcano_00000002_pre_disaster.json,guatemala-volcano_00000002_pre_disaster.png,guatemala-volcano_00000002_pre_disaster_mask.npy,1024,1024,1,0.002332785931513574,low
guatemala-volcano_00000006_pre_disaster,data/labels\guatemala-volcano_00000006_pre_disaster.json,guatemala-volcano_00000006_pre_disaster.png,guatemala-volcano_00000006_pre_disaster_mask.npy,1024,1024,97,0.04087801880710935,medium
guatemala-volcano_00000007_pre_disaster,data/labels\guatemala-volcano_00000007_pre_disaster.json,guatemala-volcano_00000007_pre_disaster.png,guatemala-volcano_00000007_pre_disaster_mask.npy,1024,1024,9,0.008715093563680623,low
guatemala-volcano_00000008_pre_disaster,data/labels\guatemala-volcano_00000008_pre_disaster.json,guatemala-volcano_00000008_pre_disaster.png,guatemala-volcano_00000008_pre_disaster_mask.npy,1024,1024,0,0.0,very_low
guatemala-volcano_00000010_pre_disaster,data/labels\guatemala-volcano_00000010_pre_disaster.json,guatemala-volcano_00000010_pre_disaster.png,guatemala-volcano_00000010_pre_disaster_mask.npy,1024,1024,2,4.6176443403516594e-05,very_low
guatemala-volcano_00000013_pre_disaster,data/labels\guatemala-volcano_00000013_pre_disaster.json,guatemala-volcano_00000013_pre_disaster.png,guatemala-volcano_00000013_pre_disaster_mask.npy,1024,1024,13,0.018245118884875164,medium
guatemala-volcano_00000015_pre_disaster,data/labels\guatemala-volcano_00000015_pre_disaster.json,guatemala-volcano_00000015_pre_disaster.png,guatemala-volcano_00000015_pre_disaster_mask.npy,1024,1024,131,0.05316999944253783,medium
guatemala-volcano_00000016_pre_disaster,data/labels\guatemala-volcano_00000016_pre_disaster.json,guatemala-volcano_00000016_pre_disaster.png,guatemala-volcano_00000016_pre_disaster_mask.npy,1024,1024,7,0.009293155256375717,low
guatemala-volcano_00000017_pre_disaster,data/labels\guatemala-volcano_00000017_pre_disaster.json,guatemala-volcano_00000017_pre_disaster.png,guatemala-volcano_00000017_pre_disaster_mask.npy,1024,1024,58,0.017453192216387976,medium
guatemala-volcano_00000018_pre_disaster,data/labels\guatemala-volcano_00000018_pre_disaster.json,guatemala-volcano_00000018_pre_disaster.png,guatemala-volcano_00000018_pre_disaster_mask.npy,1024,1024,12,0.005661007522328248,low
guatemala-volcano_00000019_pre_disaster,data/labels\guatemala-volcano_00000019_pre_disaster.json,guatemala-volcano_00000019_pre_disaster.png,guatemala-volcano_00000019_pre_disaster_mask.npy,1024,1024,22,0.02906354311577208,medium
guatemala-volcano_00000023_pre_disaster,data/labels\guatemala-volcano_00000023_pre_disaster.json,guatemala-volcano_00000023_pre_disaster.png,guatemala-volcano_00000023_pre_disaster_mask.npy,1024,1024,167,0.05139271477888231,medium
guatemala-volcano_00000024_pre_disaster,data/labels\guatemala-volcano_00000024_pre_disaster.json,guatemala-volcano_00000024_pre_disaster.png,guatemala-volcano_00000024_pre_disaster_mask.npy,1024,1024,67,0.023142665361888613,medium
guatemala-volcano_00000025_pre_disaster,data/labels\guatemala-volcano_00000025_pre_disaster.json,guatemala-volcano_00000025_pre_disaster.png,guatemala-volcano_00000025_pre_disaster_mask.npy,1024,1024,201,0.06538120437104558,medium
guatemala-volcano_00000026_pre_disaster,data/labels\guatemala-volcano_00000026_pre_disaster.json,guatemala-volcano_00000026_pre_disaster.png,guatemala-volcano_00000026_pre_disaster_mask.npy,1024,1024,30,0.006201075929470751,low
guatemala-volcano_00000027_pre_disaster,data/labels\guatemala-volcano_00000027_pre_disaster.json,guatemala-volcano_00000027_pre_disaster.png,guatemala-volcano_00000027_pre_disaster_mask.npy,1024,1024,25,0.013821279537048859,medium
hurricane-florence_00000000_pre_disaster,data/labels\hurricane-florence_00000000_pre_disaster.json,hurricane-florence_00000000_pre_disaster.png,hurricane-florence_00000000_pre_disaster_mask.npy,1024,1024,110,0.12507990793967746,high
hurricane-florence_00000001_pre_disaster,data/labels\hurricane-florence_00000001_pre_disaster.json,hurricane-florence_00000001_pre_disaster.png,hurricane-florence_00000001_pre_disaster_mask.npy,1024,1024,91,0.09156369323401416,high
hurricane-florence_00000002_pre_disaster,data/labels\hurricane-florence_00000002_pre_disaster.json,hurricane-florence_00000002_pre_disaster.png,hurricane-florence_00000002_pre_disaster_mask.npy,1024,1024,6,0.0025222287154408824,low
